Loan ID,Date,credit.policy,purpose,int.rate,installment,dti,fico,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec
323735,06/10/2023,1,all_other,0.08,188.02,16.08,772,29797,23.2,1,0,0
243401,28/10/2023,1,all_other,0.0863,474.42,2.59,797,5656,27.6,0,0,0
571665,18/10/2023,1,credit_card,0.1355,339.6,7.94,662,21162,57.7,0,0,0
831027,23/10/2023,1,credit_card,0.0788,484.85,7.05,782,16931,34.6,1,0,0
439168,21/10/2023,1,debt_consolidation,0.1229,320.19,8.8,672,4822,58.1,0,0,1
794670,24/10/2023,1,all_other,0.0901,159.03,10,712,14354,36.6,0,2,0
371931,22/10/2023,1,all_other,0.0743,155.38,0.28,802,1576,5.7,1,0,0
427198,16/10/2023,1,debt_consolidation,0.1375,255.43,14.29,662,4175,51.5,0,1,0
108057,11/10/2023,1,all_other,0.0743,155.38,0.28,772,3164,13.7,0,0,0
375442,20/10/2023,1,all_other,0.0743,155.38,3.72,812,85607,0.7,0,0,0
480517,01/10/2023,1,debt_consolidation,0.0807,156.84,2.3,742,9698,19.4,0,0,0
825187,30/10/2023,1,credit_card,0.1028,275.38,6.4,692,8847,26.9,1,1,0
425405,01/10/2023,1,home_improvement,0.0743,155.38,0,777,6053,19.5,0,0,0
991960,20/10/2023,1,home_improvement,0.0807,78.42,11.33,762,7274,13.1,0,0,0
288400,29/10/2023,1,credit_card,0.087,158.3,15.55,757,66033,23,0,0,0
645431,27/10/2023,1,all_other,0.0743,155.38,3.83,772,3660,6.8,0,0,0
651316,22/10/2023,1,credit_card,0.0743,155.38,0.31,787,216,0.6,0,0,0
349039,26/10/2023,1,credit_card,0.1122,164.23,1.21,672,27185,16.1,3,0,1
457901,31/10/2023,1,debt_consolidation,0.0996,161.25,8.03,707,28329,48.6,1,0,0
154033,20/10/2023,1,home_improvement,0.0933,159.77,11.93,717,60568,39.2,1,0,0
299581,21/10/2023,1,home_improvement,0.0807,156.84,5.55,742,40934,26.3,0,0,0
394117,08/10/2023,1,debt_consolidation,0.0743,155.38,2.29,777,8379,16.9,0,0,0
491477,05/10/2023,1,small_business,0.087,94.98,14.54,752,3660,7.8,1,0,0
420075,12/10/2023,1,home_improvement,0.1028,97.2,0,677,0,0,0,1,0
603626,16/10/2023,1,credit_card,0.1122,164.23,18.64,702,15840,47.1,0,0,0
779304,23/10/2023,1,credit_card,0.0838,167.02,14.37,797,6844,14.4,0,0,0
420390,07/10/2023,1,educational,0.0775,168.6,3,762,1321,16.5,0,0,0
785171,29/10/2023,1,all_other,0.0838,160.72,14.78,772,4737,23.9,0,0,0
935577,22/10/2023,1,credit_card,0.0901,159.03,9.96,722,23489,37.6,0,0,0
378055,28/10/2023,1,debt_consolidation,0.0743,178.69,0.27,792,2817,10.2,0,0,0
924570,27/10/2023,1,credit_card,0.0743,155.38,1.12,782,1783,0,1,0,0
995554,28/10/2023,1,small_business,0.1028,323.98,10.7,712,3534,54.4,0,0,0
932495,07/10/2023,1,small_business,0.1059,813.65,4.05,762,2422,23.3,0,0,0
462194,07/10/2023,1,educational,0.0996,112.87,16.44,712,2864,41.1,1,0,0
597773,03/10/2023,1,debt_consolidation,0.1596,94.88,12.57,627,3075,92.3,1,0,0
704971,15/10/2023,1,small_business,0.1059,398.69,17.12,747,17214,8.1,2,1,0
391750,22/10/2023,1,credit_card,0.1154,39.6,2.04,662,1153,75.8,2,0,0
628663,03/10/2023,1,credit_card,0.1343,678.08,10.15,682,41674,74.1,0,0,0
744291,28/10/2023,1,credit_card,0.1249,401.37,15,682,43039,93.4,3,0,0
705317,21/10/2023,1,all_other,0.0964,205.45,7.72,712,3362,69.3,0,0,0
544641,19/10/2023,1,debt_consolidation,0.1186,397.75,7.14,682,11868,71.9,0,2,0
622751,17/10/2023,1,all_other,0.0743,155.38,2.55,772,2562,14,2,0,0
591625,09/10/2023,1,all_other,0.1028,113.39,1.5,682,1882,32.4,0,0,0
241005,15/10/2023,1,debt_consolidation,0.1186,99.44,7.47,667,1064,70.9,2,0,1
649946,11/10/2023,1,credit_card,0.0807,109.79,8.52,752,6432,6,0,1,0
524267,11/10/2023,1,all_other,0.1059,32.55,14.47,687,4485,36.9,1,0,0
153261,12/10/2023,1,all_other,0.0996,112.87,11.06,702,16310,20.5,0,1,0
122545,29/10/2023,1,debt_consolidation,0.0964,160.51,8.55,712,20969,40.2,0,0,0
814304,10/10/2023,1,debt_consolidation,0.1375,340.57,17.38,707,22213,65.9,0,0,0
569208,20/10/2023,1,home_improvement,0.0775,156.11,6.48,752,2160,2.3,1,0,0
215715,10/10/2023,1,credit_card,0.0743,155.38,4.56,812,813,1,0,0,0
361605,03/10/2023,1,home_improvement,0.0807,235.25,2.72,757,23678,24.4,4,0,0
413252,26/10/2023,1,debt_consolidation,0.0996,257.99,15.13,722,11289,47.8,3,0,0
320409,06/10/2023,1,small_business,0.1501,225.37,6.45,677,56411,75.3,0,0,0
857797,16/10/2023,1,home_improvement,0.0964,80.26,20,772,269,3.8,3,0,0
661309,16/10/2023,1,home_improvement,0.128,84,20,682,3408,35.1,1,0,0
875361,19/10/2023,1,debt_consolidation,0.1122,507.46,13.5,712,6513,34.3,3,0,1
566176,19/10/2023,1,educational,0.0743,124.31,3.45,772,330,11,0,0,0
840945,04/10/2023,1,credit_card,0.087,63.32,6.07,712,5967,19.8,1,0,0
942095,28/10/2023,1,all_other,0.1091,130.79,18,707,5533,79.6,1,0,0
813227,20/10/2023,1,home_improvement,0.0775,93.67,2.14,762,21050,1,0,0,0
194470,08/10/2023,1,all_other,0.0775,93.67,5.35,762,21050,0.7,0,0,0
392046,29/10/2023,1,all_other,0.087,88.65,15,742,8155,14.9,1,0,0
943053,04/10/2023,1,all_other,0.0964,128.41,15,722,8155,14.9,1,0,0
551637,15/10/2023,1,home_improvement,0.087,94.98,12.23,737,3678,30.7,0,0,0
574319,03/10/2023,1,debt_consolidation,0.1217,179.8,7.1,662,2040,36.2,2,0,0
424027,13/10/2023,1,credit_card,0.1533,444.05,19.52,667,33074,68.8,2,0,0
790775,28/10/2023,1,all_other,0.0775,124.89,3.46,747,1918,17.1,0,0,0
530796,22/10/2023,1,credit_card,0.1533,644.3,5.24,662,22379,62.2,0,0,0
865842,18/10/2023,1,small_business,0.0964,642.02,2.86,737,10296,42.5,0,0,0
490040,23/10/2023,1,small_business,0.1154,104.76,12.24,672,2867,55.1,3,0,0
524480,24/10/2023,1,debt_consolidation,0.1122,157.66,12.36,682,12310,86.1,0,0,0
204395,26/10/2023,1,debt_consolidation,0.087,383.87,4.8,767,61921,39.1,0,0,0
458126,23/10/2023,1,credit_card,0.1122,217.6,18,702,16738,26.1,2,0,0
756255,03/10/2023,1,all_other,0.0807,297.99,3.49,792,40384,9.2,1,0,0
812261,04/10/2023,1,debt_consolidation,0.0775,156.11,5,762,1359,5.6,2,0,0
957047,21/10/2023,1,debt_consolidation,0.1154,329.95,20,727,107501,44.8,2,0,0
594706,01/10/2023,1,all_other,0.0807,313.67,0.72,787,3054,5.6,3,0,0
279903,06/10/2023,1,all_other,0.0807,297.99,2.44,792,40384,9.6,0,0,0
386124,04/10/2023,1,home_improvement,0.0933,239.65,9.66,792,128000,0,3,0,0
684102,21/10/2023,1,debt_consolidation,0.0712,61.87,0.43,772,4709,18.5,0,0,0
749022,17/10/2023,1,all_other,0.1186,94.47,2.8,667,2850,75,0,1,0
358616,08/10/2023,1,small_business,0.1501,73.68,16.89,702,51,0,0,0,0
102796,13/10/2023,1,home_improvement,0.0807,313.67,5.84,792,37152,3.7,0,0,0
938006,06/10/2023,1,debt_consolidation,0.0933,543.2,9.55,762,3839,16.6,1,0,0
648779,01/10/2023,1,home_improvement,0.0807,313.67,3.11,797,37152,3.7,0,0,0
166333,23/10/2023,1,credit_card,0.1217,266.37,10.2,672,26283,39.5,0,1,0
151715,29/10/2023,1,debt_consolidation,0.1028,210.6,5.87,692,5607,42.2,0,0,0
647888,04/10/2023,1,all_other,0.1249,234.15,5.01,662,1061,81.9,3,0,0
595958,03/10/2023,1,debt_consolidation,0.1028,323.99,14.4,722,56740,77.5,1,0,0
902547,12/10/2023,1,credit_card,0.1059,235.96,7.22,712,40598,77.3,1,0,0
804028,02/10/2023,1,debt_consolidation,0.1438,352.22,17.83,687,3815,6.5,1,0,0
665745,13/10/2023,1,all_other,0.0743,117.31,0,772,0,0,1,0,0
740117,16/10/2023,1,debt_consolidation,0.0712,64.96,0.22,812,50,0.3,0,0,0
586527,18/10/2023,1,small_business,0.1565,699.69,1.53,667,4569,56.4,1,0,0
282730,05/10/2023,1,educational,0.1059,195.27,8.15,692,8528,86.1,0,0,0
726689,02/10/2023,1,credit_card,0.1122,295.59,22.15,747,14345,45.8,0,0,0
776028,17/10/2023,1,small_business,0.1122,217.59,18.38,707,113,2.4,1,0,0
654903,04/10/2023,1,debt_consolidation,0.1375,263.09,9.8,677,12231,81,3,0,0
794558,31/10/2023,1,debt_consolidation,0.1467,248.43,20.76,667,13552,69.1,0,1,0
713527,13/10/2023,1,credit_card,0.1028,194.4,10.6,692,16813,63.9,0,0,0
358399,11/10/2023,1,debt_consolidation,0.1249,301.04,5.08,667,26233,62.9,3,0,1
403415,09/10/2023,1,all_other,0.0743,163.92,2.64,782,5760,16,0,0,0
449097,13/10/2023,1,all_other,0.1028,150.66,3.26,687,105,35,1,1,0
569041,04/10/2023,1,debt_consolidation,0.1122,217.59,13.77,682,11490,95.7,0,0,0
379154,09/10/2023,1,home_improvement,0.1312,85.23,20.67,692,17641,30.5,3,1,0
316489,03/10/2023,1,all_other,0.1122,328.43,20.4,742,0,0,3,0,0
658625,26/10/2023,1,all_other,0.0807,165.47,12,797,12430,19.2,1,0,0
847249,07/10/2023,1,debt_consolidation,0.1091,140.6,9.87,707,12323,44,0,0,0
214638,16/10/2023,1,all_other,0.1028,98.01,9.13,697,38624,97.8,0,0,0
686627,27/10/2023,1,small_business,0.1217,166.48,0,662,875,54.7,2,1,0
644478,31/10/2023,1,small_business,0.1249,284.32,6.38,667,1196,12,3,4,0
817820,06/10/2023,1,small_business,0.1438,194.15,2.4,697,26628,60.4,3,1,0
106032,31/10/2023,1,all_other,0.1028,138.51,24.81,767,6752,24.6,2,0,0
210388,25/10/2023,1,debt_consolidation,0.1249,70.25,14.4,662,458,91.6,1,0,0
222534,23/10/2023,1,credit_card,0.0838,252.1,9.71,752,16786,44.7,0,0,0
816882,03/10/2023,1,all_other,0.0901,263.19,12.16,742,7336,29.9,0,0,0
396601,08/10/2023,1,all_other,0.0933,104.65,3.83,702,7089,41.9,1,0,0
708050,31/10/2023,1,debt_consolidation,0.0807,172.53,6.29,742,18388,68.9,0,0,0
274244,15/10/2023,1,credit_card,0.0996,38.7,1.13,677,613,76.6,2,0,0
205355,19/10/2023,1,educational,0.1249,100.35,12.77,662,566,51.5,3,1,0
970266,16/10/2023,1,debt_consolidation,0.128,335.98,18.92,682,9166,50.4,1,0,0
817327,03/10/2023,1,all_other,0.1091,163.49,11.78,707,5406,33.4,0,0,1
465238,19/10/2023,1,all_other,0.0996,32.25,5.83,687,1188,3,2,0,0
521757,14/10/2023,1,educational,0.0996,96.75,15.4,707,12003,40.4,1,0,0
357196,29/10/2023,1,all_other,0.1059,72.42,8.14,707,20511,62,1,0,0
289530,26/10/2023,1,small_business,0.0964,90.68,18,732,55720,10,2,0,0
631946,21/10/2023,1,all_other,0.0807,259.58,9.89,772,7744,17.1,0,0,0
928656,12/10/2023,1,all_other,0.0964,169.32,17.57,737,51761,38,1,0,0
515820,04/10/2023,1,credit_card,0.1154,205.4,17.76,717,579,23.2,0,0,0
447436,14/10/2023,1,debt_consolidation,0.1312,162.01,16.87,707,34776,54.3,0,0,0
775186,15/10/2023,1,debt_consolidation,0.1028,226.8,10.05,692,8047,33.8,0,0,0
854177,17/10/2023,1,all_other,0.1059,162.73,24.4,737,0,0,3,0,0
499056,06/10/2023,1,debt_consolidation,0.1154,158.38,18.19,672,409,81.8,0,1,0
931512,09/10/2023,1,small_business,0.0901,795.11,8.93,822,185,0.5,0,0,0
210984,02/10/2023,1,debt_consolidation,0.0996,158.83,4.84,727,48251,50.1,2,0,0
846469,27/10/2023,1,all_other,0.1028,97.2,19.93,687,772,96.5,0,0,0
748012,25/10/2023,1,debt_consolidation,0.1154,263.97,8.04,672,1019,4.5,1,1,0
383091,03/10/2023,1,small_business,0.1091,404.62,16.39,692,8332,39.9,2,0,0
631865,02/10/2023,1,all_other,0.0775,307.53,9.09,797,1790,4.5,1,0,0
237134,30/10/2023,1,debt_consolidation,0.128,839.95,24.85,722,62739,74.7,3,0,0
448444,08/10/2023,1,all_other,0.1059,269.31,24.01,767,29901,71.2,2,0,0
370803,11/10/2023,1,debt_consolidation,0.1186,265.18,11.31,667,5867,74.3,1,0,0
838245,26/10/2023,1,home_improvement,0.0964,802.47,0.8,732,10605,22.1,1,0,0
956453,28/10/2023,1,debt_consolidation,0.1091,505.16,16.97,697,57196,44.5,3,0,0
464861,01/10/2023,1,home_improvement,0.0901,318.05,2.97,712,481,80.2,2,0,0
997369,12/10/2023,1,educational,0.0838,315.12,4.2,737,2282,19,1,0,0
873849,11/10/2023,1,all_other,0.1091,130.79,8.92,672,3614,61.3,1,0,0
973268,13/10/2023,1,debt_consolidation,0.1059,227.82,8.5,682,14930,79,1,0,1
713640,10/10/2023,1,credit_card,0.0996,643.36,13.07,727,33989,82.9,0,0,0
873376,22/10/2023,1,all_other,0.147,51.78,3.84,632,1238,61.9,1,1,0
451092,17/10/2023,1,educational,0.0901,572.48,15.37,747,4746,18.5,2,0,0
856011,10/10/2023,1,all_other,0.0775,149.87,6.34,752,3470,25.5,0,0,0
592413,16/10/2023,1,all_other,0.0996,96.75,11.98,682,12640,83.2,0,0,0
538077,26/10/2023,1,home_improvement,0.0712,92.8,0,812,368,1.2,0,0,0
177794,15/10/2023,1,credit_card,0.1091,192.09,19.82,677,30597,89.5,1,1,0
995850,16/10/2023,1,all_other,0.1154,593.92,10.8,682,8537,75.5,0,0,0
250399,25/10/2023,1,debt_consolidation,0.1091,392.36,15.74,692,15649,54.5,2,0,0
205603,29/10/2023,1,educational,0.0775,156.11,9.55,767,4067,7.3,0,0,0
358337,11/10/2023,1,debt_consolidation,0.1028,155.52,7.51,687,5836,68.7,0,0,1
132010,29/10/2023,1,credit_card,0.1028,485.99,11.95,702,24615,94.7,0,0,0
123951,24/10/2023,1,all_other,0.1028,116.64,7.88,687,7600,71.7,0,0,1
684322,05/10/2023,1,debt_consolidation,0.1122,223.34,18.68,682,9495,87.9,2,0,0
114788,28/10/2023,1,credit_card,0.0775,149.87,10.26,757,4921,30.4,0,0,0
516333,17/10/2023,1,educational,0.1154,211.17,1.83,667,11200,23.2,1,0,0
127207,28/10/2023,1,debt_consolidation,0.0743,186.45,6.11,777,2444,5.6,3,0,0
530085,29/10/2023,1,debt_consolidation,0.0933,790.86,0.82,767,916,6.8,0,0,0
828023,04/10/2023,1,small_business,0.0901,795.11,3.83,782,148829,6.6,5,0,0
880364,05/10/2023,1,credit_card,0.087,126.65,18.71,747,3209,12.6,0,0,0
246075,07/10/2023,1,credit_card,0.1091,294.27,17.17,677,7570,82.3,0,0,0
411150,03/10/2023,1,debt_consolidation,0.1091,404.62,9.23,687,13126,96.5,0,0,1
458479,24/10/2023,1,debt_consolidation,0.1186,397.77,20.48,687,66654,51.6,1,0,0
264088,03/10/2023,1,debt_consolidation,0.0743,178.68,1.2,812,50,0.3,0,0,0
810796,20/10/2023,1,educational,0.1028,29.16,16.7,687,3084,65.6,3,0,0
798136,05/10/2023,1,small_business,0.0996,417.62,6.48,712,2598,23.8,1,0,0
593659,30/10/2023,1,credit_card,0.1059,130.18,17.81,682,18168,68.5,2,0,0
190170,08/10/2023,1,all_other,0.1122,98.53,22.79,682,24218,85.3,2,0,0
806017,20/10/2023,1,all_other,0.0807,15.69,4.27,722,0,0,0,0,0
916339,25/10/2023,1,credit_card,0.1091,523.14,10.7,697,72303,73.7,1,0,0
337998,19/10/2023,1,all_other,0.087,557.23,0.12,757,1032,5,0,0,0
182480,27/10/2023,1,all_other,0.1122,315.3,14.6,677,133,4.2,1,0,0
784178,29/10/2023,1,debt_consolidation,0.1154,527.93,12.16,682,34023,57.7,1,2,0
888702,10/10/2023,1,major_purchase,0.0743,93.23,11.18,757,12430,29.6,5,0,0
962915,07/10/2023,1,debt_consolidation,0.0775,202.94,13.53,787,10742,8.9,3,0,0
388586,04/10/2023,1,debt_consolidation,0.1186,165.74,7.02,667,2197,75.8,0,2,0
319390,24/10/2023,1,all_other,0.1028,158.76,15.3,692,88,23.8,1,3,0
736198,28/10/2023,1,debt_consolidation,0.1028,485.99,11.88,702,13867,33.7,0,0,0
463605,23/10/2023,1,all_other,0.0996,322.49,10.28,702,3943,98.6,3,0,0
620414,28/10/2023,1,debt_consolidation,0.087,189.97,19.45,757,5405,40,2,0,0
546368,03/10/2023,1,debt_consolidation,0.1217,376.24,23.96,712,12102,49,1,0,0
916621,20/10/2023,1,debt_consolidation,0.1217,599.33,18.3,682,18076,81.4,1,0,0
186875,10/10/2023,1,debt_consolidation,0.1217,132.35,23.2,702,4504,39.2,1,0,0
116202,31/10/2023,1,small_business,0.1186,828.69,9.74,712,25852,60.5,0,0,0
791920,17/10/2023,1,credit_card,0.1091,604.88,17.56,707,32438,43,0,1,0
230428,13/10/2023,1,debt_consolidation,0.087,538.23,11.51,747,20380,48.1,2,0,0
837885,18/10/2023,1,credit_card,0.0933,172.55,16.09,707,38054,61.2,0,0,0
190837,02/10/2023,1,small_business,0.1091,604.88,4.67,697,25,0.2,2,0,0
339326,12/10/2023,1,all_other,0.0996,290.24,3.38,697,3305,55.1,2,0,0
306478,01/10/2023,1,major_purchase,0.1186,530.36,15.1,682,348,4.8,0,0,0
349322,16/10/2023,1,all_other,0.087,158.31,6.15,722,3015,25.3,0,0,0
352018,26/10/2023,1,debt_consolidation,0.1059,390.54,19.84,702,7336,71.9,1,0,0
491014,01/10/2023,1,credit_card,0.1249,301.04,4.98,662,8644,72.6,1,0,0
703742,09/10/2023,1,small_business,0.1154,659.91,17.81,707,93,0,2,0,0
292363,07/10/2023,1,small_business,0.0743,217.52,1.65,777,2698,9.5,0,0,0
253506,09/10/2023,1,home_improvement,0.1028,388.79,5.58,697,19009,30,0,0,0
606390,19/10/2023,1,major_purchase,0.087,158.31,0.38,717,498,7.3,2,1,0
562113,07/10/2023,1,debt_consolidation,0.1217,319.64,19.28,672,10358,91.7,2,0,1
969123,01/10/2023,1,credit_card,0.1028,103.68,9.7,682,2105,45.3,0,3,0
149343,17/10/2023,1,home_improvement,0.0964,154.08,12.94,697,2822,9.9,3,0,0
352382,27/10/2023,1,debt_consolidation,0.1059,650.9,11.96,707,21004,97.7,0,0,0
690779,24/10/2023,1,all_other,0.1375,81.74,24.08,667,11675,75.8,1,0,0
865537,22/10/2023,1,all_other,0.0901,238.54,10.37,712,3933,43.7,0,0,0
315549,13/10/2023,1,debt_consolidation,0.128,335.98,7.51,662,7251,80.6,3,0,2
188901,20/10/2023,1,all_other,0.1217,93.23,19.19,692,88,44,1,3,0
676243,17/10/2023,1,all_other,0.0933,95.87,2.69,697,1492,33.2,2,0,0
765858,23/10/2023,1,debt_consolidation,0.0996,95.94,14.16,692,7121,33.7,0,0,0
209939,03/10/2023,1,debt_consolidation,0.128,554.37,19.22,677,17641,69.5,2,0,0
548837,16/10/2023,1,small_business,0.1438,859.07,20.79,682,30946,61.5,3,0,0
602794,26/10/2023,1,major_purchase,0.0838,472.68,7.96,772,0,0,0,0,0
725876,17/10/2023,1,credit_card,0.1091,586.9,10.34,697,23391,90.7,1,0,0
506631,24/10/2023,1,major_purchase,0.0964,224.69,21.23,772,16324,48,0,0,0
986531,08/10/2023,1,debt_consolidation,0.128,483.81,8.47,662,7104,93.5,2,0,0
686766,29/10/2023,1,debt_consolidation,0.1217,399.55,14.5,672,9273,43.9,0,0,0
387035,05/10/2023,1,debt_consolidation,0.1186,232.04,17.02,672,6718,94.6,3,0,0
275793,03/10/2023,1,small_business,0.0964,802.47,17.06,767,12017,12.1,4,0,0
131758,29/10/2023,1,debt_consolidation,0.1091,304.9,18.96,692,5749,43.2,1,1,0
889696,01/10/2023,1,small_business,0.1249,836.23,7.99,692,6530,21.8,0,1,0
754732,19/10/2023,1,all_other,0.0775,124.89,6,752,2666,12.1,0,0,0
686773,31/10/2023,1,all_other,0.1028,113.4,17.65,687,3761,55.4,2,0,0
907877,31/10/2023,1,credit_card,0.1407,842.47,12.81,677,33698,91.3,0,0,0
344614,13/10/2023,1,debt_consolidation,0.1091,817.41,22.13,737,3472,4.5,1,0,0
420443,10/10/2023,1,debt_consolidation,0.1596,421.65,20.82,667,14534,48.9,3,1,0
532334,12/10/2023,1,educational,0.0933,575.17,9.96,732,6703,47.5,1,0,0
870176,30/10/2023,1,all_other,0.1312,405.03,18.25,667,5861,53.8,2,0,0
245704,01/10/2023,1,debt_consolidation,0.128,167.99,18.65,662,5061,72.3,0,1,0
634039,25/10/2023,1,debt_consolidation,0.0996,677.22,3.77,722,16888,39.5,0,0,0
178028,02/10/2023,1,all_other,0.1154,131.99,9.14,667,463,92.6,0,0,0
784734,26/10/2023,1,debt_consolidation,0.0933,281.2,0,712,0,0,0,1,0
706332,19/10/2023,1,debt_consolidation,0.0964,802.47,9.78,742,8283,12.7,4,0,0
306012,06/10/2023,1,credit_card,0.1091,505.16,10.86,687,46525,93.6,0,0,0
936128,28/10/2023,1,home_improvement,0.0743,180.23,2.32,772,2650,6.6,0,0,0
605968,24/10/2023,1,small_business,0.0933,798.84,1.57,762,17,0.1,5,0,0
882043,11/10/2023,1,all_other,0.0933,319.54,19.46,727,827,6.6,2,0,0
672380,24/10/2023,1,debt_consolidation,0.0964,32.1,18,702,961,26,2,0,0
250465,18/10/2023,1,debt_consolidation,0.0964,192.6,2.87,697,1554,29.3,1,0,0
615672,30/10/2023,1,home_improvement,0.1407,764.64,3.66,672,10753,52.3,2,3,0
446097,29/10/2023,1,all_other,0.0712,30.94,0.65,792,2227,3.8,1,0,0
538753,15/10/2023,1,credit_card,0.0901,381.66,6.64,722,7606,18.6,0,0,1
199754,22/10/2023,1,debt_consolidation,0.1249,301.04,4.64,662,8355,34.4,0,2,0
936971,30/10/2023,1,credit_card,0.1438,687.25,16.05,667,27293,86.6,0,0,0
582788,25/10/2023,1,debt_consolidation,0.0964,320.99,3.6,712,10157,26.2,0,1,0
651313,31/10/2023,1,small_business,0.147,862.97,5.79,677,4209,75.2,2,0,0
150562,03/10/2023,1,credit_card,0.0807,250.95,10.44,767,0,0,1,0,0
680005,25/10/2023,1,all_other,0.0743,87.01,3.96,767,1773,5,1,0,0
668998,16/10/2023,1,all_other,0.0775,62.45,2.4,742,949,55.8,1,0,0
336492,24/10/2023,1,home_improvement,0.1375,851.41,19.78,687,12308,43.6,2,0,0
748782,28/10/2023,1,credit_card,0.1059,244.09,12.1,687,7914,30.8,3,2,0
887036,27/10/2023,1,debt_consolidation,0.1438,687.25,15.7,672,9150,96.3,0,0,0
835842,12/10/2023,1,debt_consolidation,0.1122,656.86,14.04,702,21777,53.7,3,0,0
719079,02/10/2023,1,all_other,0.128,537.57,12.43,667,4281,63,3,0,0
110331,18/10/2023,1,debt_consolidation,0.0964,320.99,8.17,712,4475,63,0,0,0
305991,08/10/2023,1,debt_consolidation,0.0996,386.99,8.17,707,25413,45.2,2,0,0
592493,19/10/2023,1,small_business,0.0838,315.12,2.28,742,15043,65.2,2,0,0
804268,18/10/2023,1,major_purchase,0.1059,292.91,5.56,682,6353,39.5,2,0,0
781905,31/10/2023,1,debt_consolidation,0.0807,125.48,10.33,742,3737,55.8,1,0,0
662120,26/10/2023,1,debt_consolidation,0.0933,383.45,7.47,717,11370,41.6,0,2,0
963435,12/10/2023,1,debt_consolidation,0.1343,523.78,17.4,667,18403,73.3,0,1,0
528635,17/10/2023,1,all_other,0.1217,199.78,6.81,662,19504,77.3,0,0,0
582465,20/10/2023,1,debt_consolidation,0.0933,575.17,16.95,747,10463,8.2,2,0,0
466629,06/10/2023,1,debt_consolidation,0.0901,95.42,6.72,707,2808,51.1,3,1,0
943014,11/10/2023,1,debt_consolidation,0.0901,477.07,6.88,742,6297,14.5,0,0,0
802214,20/10/2023,1,all_other,0.0807,345.06,14.07,792,33060,21.7,0,0,0
424337,25/10/2023,1,all_other,0.1122,155.19,23.03,717,4500,13,0,0,0
310878,19/10/2023,1,home_improvement,0.0996,644.97,13.28,732,2344,9.8,1,0,0
888662,03/10/2023,1,all_other,0.0712,92.8,1.19,797,2907,4,0,0,0
242706,14/10/2023,1,debt_consolidation,0.0996,306.36,21.93,727,26218,28.7,2,0,0
977221,22/10/2023,1,debt_consolidation,0.1154,143.53,24.71,707,5967,25.5,0,0,0
135297,13/10/2023,1,credit_card,0.0964,288.89,10.36,702,27786,85.5,2,0,1
379903,03/10/2023,1,all_other,0.0933,87.88,13.46,702,27786,85.5,2,0,1
228029,31/10/2023,1,all_other,0.0901,381.66,4.28,722,7335,45.8,1,1,0
958270,10/10/2023,1,debt_consolidation,0.1122,197.06,0,672,0,0,1,1,0
661410,02/10/2023,1,credit_card,0.0807,83.92,16.68,737,19210,48.3,0,0,0
486150,07/10/2023,1,small_business,0.0964,481.48,4.05,717,11601,85.9,3,0,0
405848,25/10/2023,1,debt_consolidation,0.0996,253.16,6.14,697,991,34.2,1,0,0
134388,28/10/2023,1,all_other,0.0743,77.69,2.45,762,141287,9.4,5,1,0
818557,16/10/2023,1,all_other,0.1014,97,8.71,687,199,1.1,1,1,0
613353,20/10/2023,1,all_other,0.1046,259.87,11.28,692,63580,80.6,1,0,0
211181,27/10/2023,1,home_improvement,0.0743,124.3,5.82,772,773,4.8,0,0,0
